path	line	qualified_name	character_count	call	rationale
adhoc/debug_xero_serialization.py	20	MockBill.__init__	64	simplifying	Adhoc test double initializer; not cleanup target.
apps/accounting/models/invoice.py	47	BaseXeroInvoiceDocument.__str__	78	simplifying	Django display hook for admin/debug output.
apps/accounting/models/invoice.py	142	Bill.supplier	72	simplifying	Domain alias mapping bills to supplier while storage uses client.
apps/accounting/services/payroll_reconciliation_service.py	139	_get_monday	76	simplifying	Names a date calculation used in reconciliation logic.
apps/accounts/models.py	241	Staff.__str__	78	simplifying	Django display hook.
apps/accounts/models.py	296	Staff.name	75	lasagne	Property aliases first_name/last_name and overlaps with display helpers; likely compatibility-style layer.
apps/accounts/views/staff_views.py	104	StaffListAPIView.get_serializer_context	74	simplifying	DRF hook supplying request context.
apps/client/models.py	157	Client.__str__	43	simplifying	Django display hook.
apps/client/models.py	196	Client.total_spend	75	simplifying	Strict annotated-query property that prevents silent missing data.
apps/client/models.py	329	ClientContact.__str__	69	simplifying	Django display hook.
apps/client/models.py	377	SupplierSearchAlias.__str__	70	simplifying	Django display hook.
apps/client/tests/test_client_fts_search.py	28	hynds	60	simplifying	Test fixture factory improves test readability.
apps/client/tests/test_client_fts_search.py	33	dog_food	62	simplifying	Test fixture factory improves test readability.
apps/client/tests/test_client_fts_search.py	38	food_dog	61	simplifying	Test fixture factory improves test readability.
apps/client/tests/test_client_merge_service.py	430	AtomicityTests.test_rollback_if_any_update_fails._exploding_filter._ExplodingQS.__getattr__	73	simplifying	Test double behavior for a failure path.
apps/job/migrations/0057_safetydocument_google_docs.py	15	noop	69	simplifying	Migration no-op reverse/placeholder.
apps/job/models/job_event.py	164	JobEvent.description	69	simplifying	Property names the public presentation value while builder owns details.
apps/job/serializers/costing_serializer.py	351	CostSetSummaryOnlySerializer.get_cost_lines	56	simplifying	Serializer override intentionally suppresses nested cost lines.
apps/job/services/job_rest_service.py	177	_json_from_str	55	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/job_rest_service.py	189	_json_from_none	58	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/job_rest_service.py	206	_json_from_datetime	77	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/job_rest_service.py	211	_json_from_date	69	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/job_rest_service.py	216	_json_from_decimal	76	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/job_rest_service.py	221	_json_from_uuid	62	simplifying	singledispatch handler replaces an isinstance branch.
apps/job/services/month_end_service.py	16	MonthEndService._get_stock_job	73	lasagne	Private wrapper only forwards to Stock.get_stock_holding_job.
apps/job/services/workshop_service.py	24	WorkshopTimesheetService.__init__	56	simplifying	Stores service dependency; normal constructor.
apps/job/tests/test_workshop_pdf_service.py	37	FormatHoursDisplayTests.test_zero	78	simplifying	Tiny focused unit test.
apps/job/tests/test_workshop_pdf_service.py	40	FormatHoursDisplayTests.test_none	79	simplifying	Tiny focused unit test.
apps/operations/tests/test_scheduler_service.py	164	TestStaffFiltering.setUp	57	simplifying	Test setup hook.
apps/operations/tests/test_scheduler_service.py	204	TestPeopleAssignment.setUp	57	simplifying	Test setup hook.
apps/operations/tests/test_scheduler_service.py	257	TestAssignedStaffPreference.setUp	57	simplifying	Test setup hook.
apps/operations/tests/test_scheduler_service.py	589	TestEfficiencyFactor.setUp	57	simplifying	Test setup hook.
apps/operations/tests/test_scheduler_service.py	758	TestPriorityAndCapacity.setUp	57	simplifying	Test setup hook.
apps/process/models/procedure.py	99	Procedure.has_google_doc	73	simplifying	Names a boolean domain predicate.
apps/process/tests/test_form_service.py	7	_make_service	77	simplifying	Test factory reduces setup repetition.
apps/process/views/form_viewsets.py	113	FormViewSet._get_category	71	lasagne	Private method only wraps self.kwargs.get; little abstraction value.
apps/process/views/procedure_viewsets.py	107	ProcedureViewSet._get_category	71	lasagne	Private method only wraps self.kwargs.get; duplicated with FormViewSet.
apps/purchasing/models.py	589	Stock.__str__	73	simplifying	Django display hook.
apps/purchasing/services/supplier_search_service.py	60	_compact	66	simplifying	Names a text normalization step used in scoring.
apps/purchasing/tasks.py	20	ParseStockItemTask.__call__	67	simplifying	Protocol stub for typed Celery task object.
apps/purchasing/tasks.py	22	ParseStockItemTask.delay	69	simplifying	Protocol stub for typed Celery task object.
apps/purchasing/tasks.py	26	ParseUnparsedStockItemsTask.__call__	48	simplifying	Protocol stub for typed Celery task object.
apps/purchasing/tasks.py	28	ParseUnparsedStockItemsTask.delay	47	simplifying	Protocol stub for typed Celery task object.
