# Properties where v2's declared contract is WEAKER than v1's, one per line,
# tagged by how it is weaker:
#
#   uuid      v1 pins `format: uuid`; v2 accepts any string.
#   nullable  v1 guarantees a value; v2 admits null.
#   required  v1 guarantees the property is present; v2 lets it be absent.
#
# All three come from the same cause: DRF derived v1's contract from the
# models, while v2 hand-writes its ninja schemas, so nothing ties the wire
# back to model truth. See docs/adr/ for the derivation decision.
#
# This list may only SHRINK. A gap missing from it fails (a new regression —
# the accumulation this exists to stop); a listed gap that no longer exists
# also fails, so the file cannot rot into a wishlist. Regenerate with
# --update-baseline when you fix one.
nullable DELETE /api/job/job/{}/assignment/{} :: response:200.error
nullable DELETE /api/job/job/{}/assignment/{} :: response:200.message
nullable GET /api/accounting/reports/sales-forecast/{}/ :: response:200.rows.[].date
nullable GET /api/accounting/reports/staff-performance-summary/ :: response:200.staff.[].job_breakdown
nullable GET /api/accounting/reports/staff-performance/{}/ :: response:200.staff.[].job_breakdown
nullable GET /api/job/data-quality/duplicate-identities/ :: response:200.person_groups.[].members.[].contact_methods.[].contact_label
nullable GET /api/job/jobs/delta-rejections/ :: response:200.results.[].checksum
nullable GET /api/job/jobs/delta-rejections/ :: response:200.results.[].request_etag
nullable GET /api/job/jobs/fetch-by-column/{}/ :: response:200.error
nullable GET /api/job/jobs/fetch-by-column/{}/ :: response:200.has_more
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_actual
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_actual.summary.profitMargin
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_estimate
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_estimate.summary.profitMargin
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_quote
nullable GET /api/job/jobs/{}/ :: response:200.data.job.latest_quote.summary.profitMargin
nullable GET /api/job/jobs/{}/ :: response:200.data.job.quote_sheet.sheet_id
nullable GET /api/job/jobs/{}/cost_sets/{}/ :: response:200.summary.profitMargin
nullable GET /api/job/jobs/{}/delta-rejections/ :: response:200.results.[].checksum
nullable GET /api/job/jobs/{}/delta-rejections/ :: response:200.results.[].request_etag
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_actual
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_actual.summary.profitMargin
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_estimate
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_estimate.summary.profitMargin
nullable GET /api/job/jobs/{}/summary/ :: response:200.data.job.latest_quote
